Tag,Serial Number,Category,Brand & Model,Specs,Location,Remarks
AST-101,SN-1001,Laptop,Lenovo ThinkPad T14,16GB RAM / 512GB SSD,Head Office,New
AST-102,SN-1002,Laptop,Apple MacBook Pro 14,M2 / 16GB RAM,Head Office,Good Condition
AST-103,SN-1003,Printer,HP LaserJet Pro,Black and White,Branch Office A,Networked
AST-104,SN-1004,Monitor,Dell UltraSharp 27,4K Resolution,Head Office,Design Team
AST-105,SN-1005,PC,Dell OptiPlex 7090,Core i7 / 32GB RAM,Branch Office B,
AST-106,SN-1006,Mobile Phone,Apple iPhone 13,128GB Storage,Head Office,Company Phone
AST-107,SN-1007,Laptop,Dell Latitude 5420,16GB RAM / 256GB SSD,Head Office,
AST-108,SN-1008,Monitor,LG 24inch IPS,1080p,Branch Office A,
AST-109,SN-1009,Laptop,Lenovo ThinkPad X1 Carbon,32GB RAM / 1TB SSD,Head Office,Executive use
AST-110,SN-1010,Equipment,Cisco Router 2901,Gigabit,Server Room,Primary Router
